,ctl_loading_date,ctl_loading,string_quantity,duplicated_by_loading,corrections,delay,day_of_week,cumulative_missing_days,rank
61,2018-06-09,36264631937,458,13,30,0 days,5,3,1
62,2018-06-10,61243016181,458,10,30,0 days,6,3,1
63,2018-06-11,80156873482,426,9,27,0 days,0,3,1
64,2018-06-12,441125477,496,14,33,0 days,1,3,1
65,2018-06-13,72228790075,426,12,27,0 days,2,3,1
66,2018-06-14,6701002053,458,16,30,0 days,3,3,1
67,2018-06-15,46613091440,429,9,28,0 days,4,3,1
68,2018-06-16,10071270167,461,10,29,0 days,5,3,1
69,2018-06-17,17316482030,478,9,31,0 days,6,3,1
70,2018-06-18,35596603497,458,17,29,0 days,0,3,1
71,2018-06-19,95095310641,459,12,29,0 days,1,3,1
72,2018-06-20,78007266750,458,16,29,0 days,2,3,1
77,2018-06-26,86912174645,474,10,30,0 days,1,8,1
73,2018-06-26,407853497,463,13,30,1 days,1,8,2
76,2018-06-26,85145287403,423,14,25,2 days,1,8,3
78,2018-06-26,90027618990,239,1,5,3 days,1,8,4
74,2018-06-26,40178549834,436,10,27,4 days,1,8,5
75,2018-06-26,49688326631,464,17,30,5 days,1,8,6
79,2018-06-27,74008450621,458,9,29,0 days,2,8,1
80,2018-06-28,28309400674,488,12,32,0 days,3,8,1
81,2018-06-29,87856532430,488,12,32,0 days,4,8,1
82,2018-06-30,56944599756,492,15,32,0 days,5,8,1
83,2018-06-30,67122335489,246,5,27,7 days,5,8,2
84,2018-07-01,11038424595,471,11,30,0 days,6,8,1
85,2018-07-02,27017618241,436,9,27,0 days,0,8,1
86,2018-07-03,45010221733,484,16,32,0 days,1,8,1
87,2018-07-04,93284288660,456,9,29,0 days,2,8,1
88,2018-07-05,53009774627,450,10,29,0 days,3,8,1
89,2018-07-06,19679343914,471,14,30,0 days,4,8,1
90,2018-07-07,65839270511,467,15,30,0 days,5,8,1
91,2018-07-08,32708273188,450,15,29,0 days,6,8,1
92,2018-07-09,19933242467,486,12,32,0 days,0,8,1
93,2018-07-10,29781931276,430,9,27,0 days,1,8,1
94,2018-07-11,44026993785,437,10,28,0 days,2,8,1
95,2018-07-12,30101280139,458,11,29,0 days,3,8,1
96,2018-07-13,46675858215,426,10,27,0 days,4,8,1
97,2018-07-14,87945344395,473,14,30,0 days,5,8,1
98,2018-07-15,76434614508,477,15,31,0 days,6,8,1
99,2018-07-16,43053748661,458,13,29,0 days,0,8,1
100,2018-07-17,35929517334,446,11,28,0 days,1,8,1
101,2018-07-18,15681087850,458,12,29,0 days,2,8,1
102,2018-07-19,67789332552,420,11,25,0 days,3,8,1
103,2018-07-20,40871611667,431,10,27,0 days,4,8,1
104,2018-07-21,64002938204,449,15,29,0 days,5,8,1
105,2018-07-22,8064944320,483,18,32,0 days,6,8,1
106,2018-07-23,37147360985,441,12,28,0 days,0,8,1
107,2018-07-24,42864834274,497,14,32,0 days,1,8,1
108,2018-07-25,72706064957,464,10,30,0 days,2,8,1
109,2018-07-26,19909378267,458,10,29,0 days,3,8,1
110,2018-07-27,69772923773,483,11,32,0 days,4,8,1
111,2018-07-28,17715759095,458,15,29,0 days,5,8,1
112,2018-07-29,41567368081,108,1,1,0 days,6,8,1
113,2018-07-30,46918971435,466,17,30,0 days,0,8,1
114,2018-07-30,92503314330,350,8,28,1 days,0,8,2
115,2018-07-31,91799400754,454,14,29,0 days,1,8,1
116,2018-08-01,69349051079,446,10,28,0 days,2,8,1
117,2018-08-02,73853025435,458,13,29,0 days,3,8,1
118,2018-08-03,58936765456,458,15,29,0 days,4,8,1
119,2018-08-04,7158038048,462,13,30,0 days,5,8,1
120,2018-08-05,85670378875,471,14,30,0 days,6,8,1
121,2018-08-06,96819463750,440,12,28,0 days,0,8,1
122,2018-08-07,71303639124,458,13,29,0 days,1,8,1
123,2018-08-08,23254979024,422,9,26,0 days,2,8,1
124,2018-08-09,21251482298,466,12,30,0 days,3,8,1
125,2018-08-10,95014690435,480,13,32,0 days,4,8,1
126,2018-08-11,5576434544,494,14,32,0 days,5,8,1
127,2018-08-12,91040857089,459,13,30,0 days,6,8,1
128,2018-08-13,8427995286,465,10,30,0 days,0,8,1
129,2018-08-14,27362496349,481,11,32,0 days,1,8,1
130,2018-08-15,48901711533,468,18,30,0 days,2,8,1
131,2018-08-16,60064553244,430,10,27,0 days,3,8,1
132,2018-08-17,97106233183,482,19,32,0 days,4,8,1
133,2018-08-18,65585413803,441,9,28,0 days,5,8,1
134,2018-08-19,47590482047,466,11,30,0 days,6,8,1
135,2018-08-20,6659392920,477,15,32,0 days,0,8,1
136,2018-08-21,72238425771,440,17,28,0 days,1,8,1
137,2018-08-22,70997019753,431,9,27,0 days,2,8,1
138,2018-08-23,6929898615,471,14,31,0 days,3,8,1
139,2018-08-24,10667987894,472,9,31,0 days,4,8,1
140,2018-08-25,26035459438,467,12,30,0 days,5,8,1
141,2018-08-26,1669546601,459,17,30,0 days,6,8,1
142,2018-08-27,28716631944,479,12,32,0 days,0,8,1
143,2018-08-28,32037365425,459,15,30,0 days,1,8,1
144,2018-08-29,87331043586,458,9,30,0 days,2,8,1
145,2018-08-30,58120146698,458,15,30,0 days,3,8,1
146,2018-08-31,11897390225,473,15,31,0 days,4,8,1
147,2018-09-01,10415653433,458,15,30,0 days,5,8,1
148,2018-09-02,93409694039,458,16,30,0 days,6,8,1
149,2018-09-03,64137217258,444,12,28,0 days,0,8,1
150,2018-09-04,65400402938,458,11,30,0 days,1,8,1
151,2018-09-05,23191827140,495,14,32,0 days,2,8,1
152,2018-09-06,56315956411,458,15,30,0 days,3,8,1
153,2018-09-07,60544412883,465,14,30,0 days,4,8,1
154,2018-09-08,55723638158,496,16,33,0 days,5,8,1
155,2018-09-09,53794920764,460,12,30,0 days,6,8,1
156,2018-09-10,73659591301,456,15,29,0 days,0,8,1
157,2018-09-11,63384818224,458,13,30,0 days,1,8,1
158,2018-09-12,48574688708,458,17,30,0 days,2,8,1
159,2018-09-13,6242891357,442,9,28,0 days,3,8,1
160,2018-09-14,69514861537,494,18,32,0 days,4,8,1
161,2018-09-15,42816283131,473,16,31,0 days,5,8,1
162,2018-09-16,93843032306,473,16,31,0 days,6,8,1
163,2018-09-17,96394515780,458,12,30,0 days,0,8,1
164,2018-09-18,18996063652,497,14,33,0 days,1,8,1
165,2018-09-19,41568915496,458,14,30,0 days,2,8,1
166,2018-09-20,45706627388,458,17,30,0 days,3,8,1
167,2018-09-21,60842366000,460,14,30,0 days,4,8,1
168,2018-09-22,78039849601,458,15,30,0 days,5,8,1
169,2018-09-23,44883151964,432,12,28,0 days,6,8,1
170,2018-09-24,18228004800,458,12,30,0 days,0,8,1
171,2018-09-25,35511548318,448,14,29,0 days,1,8,1
172,2018-09-26,3963092317,458,14,30,0 days,2,8,1
173,2018-09-27,83004373130,497,16,33,0 days,3,8,1
174,2018-09-28,76103093276,432,13,28,0 days,4,8,1
175,2018-09-29,9334845892,495,15,33,0 days,5,8,1
176,2018-09-30,16290431151,421,10,27,0 days,6,8,1
177,2018-10-01,76172597012,464,18,30,0 days,0,8,1
178,2018-10-02,16634565102,477,16,32,0 days,1,8,1
179,2018-10-03,10366885031,458,14,30,0 days,2,8,1
180,2018-10-04,63143933343,458,13,30,0 days,3,8,1
181,2018-10-05,69423395438,458,14,30,0 days,4,8,1
182,2018-10-06,25560511525,469,14,31,0 days,5,8,1
183,2018-10-07,7813614633,458,16,30,0 days,6,8,1
184,2018-10-08,24029836629,442,10,28,0 days,0,8,1
185,2018-10-09,28879933151,445,14,29,0 days,1,8,1
186,2018-10-10,71874327179,446,11,29,0 days,2,8,1
187,2018-10-11,74042388021,458,20,30,0 days,3,8,1
188,2018-10-12,85338654822,458,14,30,0 days,4,8,1
189,2018-10-13,54201162533,470,19,31,0 days,5,8,1
190,2018-10-14,22905443089,491,12,32,0 days,6,8,1
191,2018-10-15,51996316187,482,11,32,0 days,0,8,1
192,2018-10-16,84328497305,421,13,27,0 days,1,8,1
193,2018-10-17,32414205119,439,12,28,0 days,2,8,1
194,2018-10-18,29377966670,419,10,26,0 days,3,8,1
195,2018-10-19,82185705193,481,20,32,0 days,4,8,1
196,2018-10-20,3927953944,420,14,27,0 days,5,8,1
197,2018-10-21,55612139320,456,11,30,0 days,6,8,1
198,2018-10-22,26420024241,452,8,29,0 days,0,8,1
199,2018-10-23,17465260768,461,18,30,0 days,1,8,1
200,2018-10-24,69636874936,427,10,27,0 days,2,8,1
201,2018-10-25,2375710542,460,14,30,0 days,3,8,1
202,2018-10-26,77607582544,429,12,27,0 days,4,8,1
203,2018-10-27,56298213636,472,12,32,0 days,5,8,1
204,2018-10-28,73012211958,483,18,32,0 days,6,8,1
205,2018-10-29,74498287829,458,12,30,0 days,0,8,1
206,2018-10-30,85841054030,438,16,28,0 days,1,8,1
207,2018-10-31,54073284040,474,16,32,0 days,2,8,1
208,2018-11-01,84570204133,486,14,32,0 days,3,8,1
209,2018-11-02,45620374703,458,17,30,0 days,4,8,1
210,2018-11-03,29009158724,440,14,28,0 days,5,8,1
211,2018-11-04,58188429754,458,14,30,0 days,6,8,1
212,2018-11-05,85927073092,458,17,30,0 days,0,8,1
213,2018-11-06,15671526608,488,17,32,0 days,1,8,1
214,2018-11-07,17468485966,444,12,29,0 days,2,8,1
215,2018-11-08,62480301298,493,12,33,0 days,3,8,1
216,2018-11-09,13409577894,466,9,30,0 days,4,8,1
217,2018-11-10,91202821626,458,14,30,0 days,5,8,1
218,2018-11-11,35509932058,467,16,31,0 days,6,8,1
219,2018-11-12,92812414362,458,16,30,0 days,0,8,1
220,2018-11-13,71189285260,491,18,32,0 days,1,8,1
221,2018-11-14,8712452153,458,16,30,0 days,2,8,1
222,2018-11-15,26837633939,485,13,32,0 days,3,8,1
223,2018-11-20,5335969068,483,17,32,0 days,1,12,1
224,2018-11-20,12018254901,459,16,30,1 days,1,12,2
227,2018-11-20,98315908034,425,13,27,2 days,1,12,3
226,2018-11-20,69031439262,44,0,0,3 days,1,12,4
225,2018-11-20,50460986616,464,18,30,4 days,1,12,5
228,2018-11-21,36812112253,491,18,33,0 days,2,12,1
229,2018-11-22,81904354885,458,12,30,0 days,3,12,1
230,2018-11-22,84477052304,414,14,30,5 days,3,12,2
231,2018-11-23,41800663037,482,15,32,0 days,4,12,1
232,2018-11-24,80847424749,469,14,31,0 days,5,12,1
233,2018-11-25,17735160661,466,12,31,0 days,6,12,1
234,2018-11-26,2391019427,452,17,29,0 days,0,12,1
235,2018-11-27,61435538217,484,19,32,0 days,1,12,1
236,2018-11-28,15368887703,436,11,28,0 days,2,12,1
237,2018-11-29,98291256824,426,8,27,0 days,3,12,1
238,2018-11-30,38534276023,458,15,30,0 days,4,12,1
239,2018-12-01,27803291211,458,15,30,0 days,5,12,1
240,2018-12-02,34186997299,490,19,32,0 days,6,12,1
241,2018-12-03,52206016763,435,13,28,0 days,0,12,1
242,2018-12-04,80722959806,495,20,33,0 days,1,12,1
243,2018-12-05,2038449303,458,15,30,0 days,2,12,1
244,2018-12-06,25445317979,481,19,32,0 days,3,12,1
245,2018-12-07,81244128113,484,17,32,0 days,4,12,1
246,2018-12-08,8849527578,427,13,28,0 days,5,12,1
247,2018-12-09,78493720796,466,14,31,0 days,6,12,1
248,2018-12-10,4435854822,490,18,33,0 days,0,12,1
249,2018-12-11,19758668083,450,12,29,0 days,1,12,1
250,2018-12-12,55111543328,422,13,27,0 days,2,12,1
251,2018-12-13,88527084528,446,15,29,0 days,3,12,1
252,2018-12-14,85790861037,436,13,28,0 days,4,12,1
253,2018-12-15,58393357522,423,9,27,0 days,5,12,1
254,2018-12-16,30385876291,420,14,27,0 days,6,12,1
255,2018-12-17,2514041064,449,11,29,0 days,0,12,1
256,2018-12-18,75255221771,454,12,30,0 days,1,12,1
257,2018-12-19,75242200812,455,15,30,0 days,2,12,1
258,2018-12-20,37166312106,432,15,28,0 days,3,12,1
259,2018-12-21,90028362016,458,16,30,0 days,4,12,1
260,2018-12-22,88775494532,431,10,28,0 days,5,12,1
261,2018-12-23,88152120557,458,17,30,0 days,6,12,1
262,2018-12-24,51070336109,244,2,5,0 days,0,12,1
263,2018-12-25,10130532755,456,12,30,0 days,1,12,1
264,2018-12-26,18820021486,445,16,29,0 days,2,12,1
265,2018-12-27,29100502817,475,20,32,0 days,3,12,1
266,2018-12-28,28308126530,458,14,30,0 days,4,12,1
267,2018-12-29,3051021418,458,15,30,0 days,5,12,1
268,2018-12-29,49380866166,201,5,24,5 days,5,12,2
269,2018-12-30,64157808401,490,16,33,0 days,6,12,1
270,2018-12-31,90016374559,447,13,29,0 days,0,12,1
271,2019-01-01,50793863464,445,16,29,0 days,1,12,1
272,2019-01-02,72844707845,458,14,30,0 days,2,12,1
273,2019-01-03,68201438325,453,15,30,0 days,3,12,1
274,2019-01-04,7339352306,428,6,28,0 days,4,12,1
275,2019-01-05,81361843178,440,15,29,0 days,5,12,1
276,2019-01-06,25767613703,458,14,30,0 days,6,12,1
277,2019-01-07,68038493339,470,15,32,0 days,0,12,1
278,2019-01-08,58875793965,423,12,27,0 days,1,12,1
279,2019-01-09,94558042853,445,18,29,0 days,2,12,1
280,2019-01-10,70449357617,420,12,27,0 days,3,12,1
281,2019-01-11,9729496053,478,14,32,0 days,4,12,1
282,2019-01-12,82237119006,469,17,32,0 days,5,12,1
283,2019-01-13,72742020490,458,18,30,0 days,6,12,1
284,2019-01-14,65925257095,472,15,32,0 days,0,12,1
285,2019-01-15,16940927334,458,18,30,0 days,1,12,1
286,2019-01-16,67186114038,458,15,30,0 days,2,12,1
287,2019-01-17,1606864706,458,16,30,0 days,3,12,1
288,2019-01-18,71530839511,423,15,27,0 days,4,12,1
289,2019-01-19,27843302684,458,19,30,0 days,5,12,1
290,2019-01-20,12627369318,485,12,32,0 days,6,12,1
291,2019-01-21,39182085119,494,19,34,0 days,0,12,1
292,2019-01-22,14806217753,458,16,30,0 days,1,12,1
293,2019-01-23,92893140327,488,14,32,0 days,2,12,1
294,2019-01-24,47243728760,16,0,0,0 days,3,12,1
295,2019-01-25,30204334631,458,13,29,0 days,4,12,1
296,2019-01-26,78791973673,430,12,27,0 days,5,12,1
297,2019-01-26,89743391772,459,14,31,2 days,5,12,2
298,2019-01-27,35649992799,450,15,29,0 days,6,12,1
299,2019-01-28,13262758995,456,17,29,0 days,0,12,1
300,2019-01-29,36889597866,488,13,32,0 days,1,12,1
301,2019-01-30,61710412374,459,13,29,0 days,2,12,1
302,2019-01-31,41622075068,486,13,31,0 days,3,12,1
303,2019-02-01,92918889842,458,18,29,0 days,4,12,1
304,2019-02-02,21067969374,438,9,28,0 days,5,12,1
305,2019-02-03,73340563550,429,12,27,0 days,6,12,1
306,2019-02-04,47106779967,457,21,29,0 days,0,12,1
307,2019-02-05,40981332321,474,14,31,0 days,1,12,1
308,2019-02-06,18887743322,458,14,29,0 days,2,12,1
309,2019-02-07,32566992844,458,10,29,0 days,3,12,1
310,2019-02-08,29612436508,467,15,31,0 days,4,12,1
311,2019-02-09,5298772587,458,18,29,0 days,5,12,1
312,2019-02-10,2965913117,496,17,34,0 days,6,12,1
314,2019-02-14,25360885839,439,16,28,0 days,3,15,1
313,2019-02-14,6652222794,483,19,31,1 days,3,15,2
316,2019-02-14,53529831014,458,13,29,2 days,3,15,3
315,2019-02-14,48576008251,449,15,29,3 days,3,15,4
317,2019-02-15,86323901605,454,16,29,0 days,4,15,1
318,2019-02-16,62910325282,448,12,29,0 days,5,15,1
319,2019-02-17,10855628280,458,16,29,0 days,6,15,1
320,2019-02-18,23901249456,458,14,29,0 days,0,15,1
321,2019-02-19,73138636951,458,16,29,0 days,1,15,1
322,2019-02-20,11616829812,458,11,29,0 days,2,15,1
323,2019-02-21,74037611883,423,13,27,0 days,3,15,1
324,2019-02-22,28222319028,458,13,29,0 days,4,15,1
325,2019-02-23,37832679328,458,15,29,0 days,5,15,1
326,2019-02-24,83357529956,438,11,28,0 days,6,15,1
327,2019-02-25,38982010282,456,17,29,0 days,0,15,1
328,2019-02-26,85969003540,458,13,29,0 days,1,15,1
329,2019-02-27,13648127668,465,15,31,0 days,2,15,1
330,2019-02-28,67858736374,497,14,34,0 days,3,15,1
331,2019-03-01,67229794442,445,12,28,0 days,4,15,1
332,2019-03-02,34706372621,472,17,31,0 days,5,15,1
333,2019-03-03,87790003811,495,17,34,0 days,6,15,1
334,2019-03-04,24014984026,443,12,28,0 days,0,15,1
335,2019-03-05,16921333926,479,14,31,0 days,1,15,1
336,2019-03-06,22877625943,458,15,29,0 days,2,15,1
337,2019-03-07,27336986979,477,14,31,0 days,3,15,1
338,2019-03-08,89452047159,445,15,28,0 days,4,15,1
339,2019-03-09,81257431638,478,15,31,0 days,5,15,1
342,2019-03-12,79657384153,492,17,33,0 days,1,17,1
340,2019-03-12,7291630588,441,16,28,1 days,1,17,2
341,2019-03-12,57719077045,460,12,30,2 days,1,17,3
343,2019-03-13,58382016026,458,13,29,0 days,2,17,1
344,2019-03-14,40811719059,464,18,31,0 days,3,17,1
345,2019-03-15,71419105307,482,12,31,0 days,4,17,1
346,2019-03-16,37358762249,458,17,29,0 days,5,17,1
347,2019-03-17,32615281661,458,10,29,0 days,6,17,1
348,2019-03-18,61970867598,458,18,29,0 days,0,17,1
349,2019-03-19,23893045294,488,16,32,0 days,1,17,1
350,2019-03-20,69551858299,486,16,32,0 days,2,17,1
351,2019-03-21,64502670715,458,22,29,0 days,3,17,1
352,2019-03-22,59261476391,466,13,31,0 days,4,17,1
353,2019-03-23,14956125418,482,16,31,0 days,5,17,1
354,2019-03-24,74215926476,455,20,29,0 days,6,17,1
355,2019-03-25,79634585783,463,12,31,0 days,0,17,1
356,2019-03-26,87236712730,452,15,29,0 days,1,17,1
357,2019-03-27,77029829188,328,6,14,0 days,2,17,1
358,2019-03-28,41369396947,479,13,31,0 days,3,17,1
359,2019-03-29,34956487964,458,14,29,0 days,4,17,1
360,2019-03-30,7331668857,462,19,30,0 days,5,17,1
361,2019-03-31,40102878156,458,17,29,0 days,6,17,1
362,2019-03-31,83593643766,130,5,15,4 days,6,17,2
363,2019-04-03,5944736773,429,11,26,0 days,2,19,1
364,2019-04-03,58876169470,454,16,28,1 days,2,19,2
365,2019-04-03,92148990397,484,19,31,2 days,2,19,3
366,2019-04-04,37646849558,453,14,28,0 days,3,19,1
367,2019-04-05,28881719722,469,11,30,0 days,4,19,1
368,2019-04-06,1972516061,458,20,29,0 days,5,19,1
369,2019-04-07,19889953993,458,16,29,0 days,6,19,1
370,2019-04-08,3934114240,458,13,29,0 days,0,19,1
371,2019-04-09,97125417279,458,17,29,0 days,1,19,1
372,2019-04-10,35701365665,446,13,28,0 days,2,19,1
373,2019-04-11,30580395879,427,14,26,0 days,3,19,1
374,2019-04-12,24740164362,450,12,28,0 days,4,19,1
375,2019-04-13,74053493370,497,18,33,0 days,5,19,1
376,2019-04-14,9981725411,458,17,29,0 days,6,19,1
377,2019-04-15,54985841915,479,16,30,0 days,0,19,1
378,2019-04-16,84927695802,458,15,29,0 days,1,19,1
379,2019-04-17,48657734395,485,19,31,0 days,2,19,1
380,2019-04-18,21741644883,466,15,30,0 days,3,19,1
381,2019-04-19,94476915943,466,15,30,0 days,4,19,1
382,2019-04-20,14863656244,458,18,29,0 days,5,19,1
383,2019-04-21,52906618452,423,13,26,0 days,6,19,1
384,2019-04-22,1744462032,434,18,27,0 days,0,19,1
385,2019-04-23,33816563176,458,7,29,0 days,1,19,1
386,2019-04-24,46197692273,458,15,29,0 days,2,19,1
387,2019-04-25,63509267217,466,17,30,0 days,3,19,1
388,2019-04-26,88901092364,433,15,27,0 days,4,19,1
389,2019-04-27,46743057655,426,14,26,0 days,5,19,1
390,2019-04-28,67236931392,484,19,31,0 days,6,19,1
391,2019-04-29,75948460455,426,15,26,0 days,0,19,1
392,2019-04-30,85836871362,463,17,30,0 days,1,19,1
393,2019-05-01,73249887095,456,17,28,0 days,2,19,1
394,2019-05-02,76748204457,458,14,29,0 days,3,19,1
396,2019-05-03,80915383622,419,15,26,0 days,4,19,1
395,2019-05-03,46185753271,32,0,32,347 days,4,19,2
399,2019-05-06,87693757265,483,16,31,0 days,0,21,1
398,2019-05-06,79807450578,447,16,28,1 days,0,21,2
397,2019-05-06,40499245422,464,18,30,2 days,0,21,3
400,2019-05-07,22286179724,458,15,29,0 days,1,21,1
401,2019-05-12,9907508612,443,17,28,0 days,6,25,1
402,2019-05-12,86453721822,31,0,31,115 days,6,25,2
406,2019-05-13,96103877488,458,22,29,0 days,0,25,1
407,2019-05-13,97041271780,436,13,27,2 days,0,25,2
404,2019-05-13,31071760932,458,14,29,3 days,0,25,3
405,2019-05-13,60606581240,493,17,33,4 days,0,25,4
403,2019-05-13,1504176871,420,18,26,5 days,0,25,5
408,2019-05-14,26732846643,471,21,30,0 days,1,25,1
409,2019-05-15,1182431933,457,19,29,0 days,2,25,1
410,2019-05-16,65399193910,441,13,27,0 days,3,25,1
411,2019-05-17,36638534337,470,21,30,0 days,4,25,1
412,2019-05-18,47154925177,436,14,27,0 days,5,25,1
413,2019-05-19,25226803043,458,14,29,0 days,6,25,1
414,2019-05-20,13448035338,484,17,31,0 days,0,25,1
415,2019-05-21,97237565215,458,15,29,0 days,1,25,1
416,2019-05-22,8473483067,458,19,29,0 days,2,25,1
417,2019-05-23,12925500652,478,16,30,0 days,3,25,1
418,2019-05-24,1651519093,466,15,30,0 days,4,25,1
419,2019-05-25,7689065155,458,16,29,0 days,5,25,1
420,2019-05-26,69134471775,496,19,33,0 days,6,25,1
421,2019-05-27,61306536674,458,17,29,0 days,0,25,1
422,2019-05-28,13729839105,450,15,28,0 days,1,25,1
423,2019-05-29,35854927723,478,19,30,0 days,2,25,1
424,2019-05-30,67080205727,458,14,29,0 days,3,25,1
425,2019-05-31,83336120740,456,16,29,0 days,4,25,1
426,2019-06-01,13492606708,430,16,27,0 days,5,25,1
427,2019-06-02,79993459326,492,15,33,0 days,6,25,1
428,2019-06-03,77164843932,495,19,33,0 days,0,25,1
429,2019-06-04,36596805987,458,16,29,0 days,1,25,1
430,2019-06-05,7338808753,467,17,30,0 days,2,25,1
431,2019-06-06,711017005,470,18,30,0 days,3,25,1
432,2019-06-07,65139837965,458,16,30,0 days,4,25,1
433,2019-06-08,32307588936,448,17,28,0 days,5,25,1
434,2019-06-09,92759743638,458,19,30,0 days,6,25,1
435,2019-06-10,49969159180,449,16,28,0 days,0,25,1
436,2019-06-11,95982357437,421,8,26,0 days,1,25,1
437,2019-06-12,45833064470,425,16,26,0 days,2,25,1
438,2019-06-13,34576241393,458,13,30,0 days,3,25,1
439,2019-06-14,49577651337,430,14,27,0 days,4,25,1
440,2019-06-15,46240974588,429,18,27,0 days,5,25,1
441,2019-06-16,1156595156,475,14,30,0 days,6,25,1
442,2019-06-17,54171207098,479,17,31,0 days,0,25,1
443,2019-06-18,42278955456,432,20,27,0 days,1,25,1
444,2019-06-19,15729975299,475,19,30,0 days,2,25,1
445,2019-06-20,77964276574,452,14,28,0 days,3,25,1
446,2019-06-21,76768141835,458,14,30,0 days,4,25,1
447,2019-06-22,21240283626,473,17,30,0 days,5,25,1
448,2019-06-23,79124302435,452,16,28,0 days,6,25,1
449,2019-06-24,14115354787,458,14,30,0 days,0,25,1
450,2019-06-25,29620040211,458,20,30,0 days,1,25,1
451,2019-06-26,65117269976,458,17,30,0 days,2,25,1
452,2019-06-27,50096318172,460,20,30,0 days,3,25,1
453,2019-06-28,33102747758,452,19,28,0 days,4,25,1
454,2019-06-29,91291795053,452,12,28,0 days,5,25,1
455,2019-06-30,1041915971,491,12,33,0 days,6,25,1
456,2019-07-01,97037941858,458,16,30,0 days,0,25,1
457,2019-07-02,60050724887,474,20,30,0 days,1,25,1
458,2019-07-03,30307201135,458,12,30,0 days,2,25,1
459,2019-07-04,69571320235,467,20,30,0 days,3,25,1
461,2019-07-05,72419971625,425,14,26,0 days,4,25,1
460,2019-07-05,13594341100,5,0,5,207 days,4,25,2
